ควาย	buffalo/stupid
ทุเรศ	pitiable
หมา	dog/bitch
ตอแหล	lie
โง่	stupid
ต่ำ	low
บ้า	crazy
เห็บ	tick/parasite
เลว	bad
กะหรี่	curry/whore
ชั่ว	wicked
แมงดา	horseshoe crabs/pimp
หน้าด้าน	shameless
สัตว์	animal/damn
เหี้ย	varanus salvator/damn
สันดาน	traits
หอย	shell/bitch
เสือก	obtrusive
ปลวก	termite/ugly
สถุล	scurrilous
ขยะ	garbage
เวร	fate/bad luck
ประสาท	nerve/insane
ดอก	flower/bitch
ส้นตีน	heel
ดัดจริต	pretentious
ไพร่	commoner
ห่า	damn
หอก	spear/bitch
สัส	damn
ฆ่า	kill
สัด	mate/damn
อุบาทว์	sinister
เปรต	jinn/brat
ร่าน	slut
แช่ง	curse
กาก	residue
ควย	genitalia/f*ck
สวะ	rubbish
ฉิบหาย	woeful
จัญไร	beastly
ปัญญาอ่อน	retarded
แรด	rhinoceros/bitch
เสนียด	evil
